"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.310041720E-1,1.061815023E-1,-3.409772366E-2,9.797711372E0
6.334894840E-1,8.943174779E-2,-2.691925503E-2,9.802496910E0
6.359747440E-1,9.661021084E-2,-3.170489892E-2,9.812067986E0
6.384600050E-1,1.205384433E-1,-2.452643216E-2,9.816853523E0
6.409452650E-1,8.464609832E-2,-5.383851007E-3,9.800104141E0
6.434305260E-1,1.061815023E-1,-7.776673418E-3,9.788140297E0
6.459158380E-1,9.182456881E-2,-3.649054468E-2,9.804889679E0
6.484010990E-1,1.061815023E-1,-1.734796353E-2,9.804889679E0
6.508863590E-1,9.421738982E-2,-1.016949583E-2,9.795318604E0
6.533716190E-1,1.133599728E-1,-1.256231871E-2,9.804889679E0
6.558568800E-1,9.421738982E-2,-5.383851007E-3,9.800104141E0
6.583421920E-1,1.085743308E-1,-2.452643216E-2,9.819247246E0
6.608274530E-1,1.109671518E-1,1.136590727E-2,9.816853523E0
6.633127130E-1,1.037886813E-1,-2.452643216E-2,9.792925835E0
6.657979740E-1,1.229312643E-1,-2.213360928E-2,9.783354759E0
6.682832340E-1,1.157527938E-1,-2.452643216E-2,9.804889679E0
6.707684940E-1,1.157527938E-1,-2.691925503E-2,9.802496910E0
6.732538070E-1,1.468594968E-1,-2.452643216E-2,9.807282448E0
6.757390670E-1,1.372881979E-1,-1.256231871E-2,9.809675217E0
6.782243280E-1,1.133599728E-1,-1.256231871E-2,9.800104141E0
6.807095880E-1,1.229312643E-1,-3.888336942E-2,9.800104141E0
6.831948490E-1,1.325025558E-1,-2.213360928E-2,9.792925835E0
6.856801090E-1,1.301097274E-1,-3.649054468E-2,9.802496910E0
6.881654220E-1,1.229312643E-1,-2.691925503E-2,9.788140297E0
6.906506820E-1,1.277169138E-1,-3.170489892E-2,9.780961990E0
6.931359420E-1,1.301097274E-1,-4.875376076E-2,9.788140297E0
6.956212030E-1,1.301097274E-1,-3.170489892E-2,9.800104141E0
6.981064630E-1,1.277169138E-1,-1.734796353E-2,9.800104141E0
7.005917240E-1,1.205384433E-1,-3.170489892E-2,9.800104141E0
7.030770360E-1,1.061815023E-1,-5.383851007E-3,9.797711372E0
7.055622970E-1,1.444666684E-1,-5.114658549E-2,9.797711372E0
7.080475570E-1,1.229312643E-1,-4.396811500E-2,9.802496910E0
7.105328170E-1,1.157527938E-1,-1.734796353E-2,9.795318604E0
7.130180780E-1,1.277169138E-1,-1.974078640E-2,9.795318604E0
7.155033900E-1,7.268198580E-2,-7.776673418E-3,9.776176453E0
