"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
9.287066190E-1,-2.137965523E-3,-1.603474026E-3,9.926267667E-4
9.311918800E-1,-3.054236295E-4,-2.825168660E-3,9.926267667E-4
9.336771920E-1,-3.054236295E-4,-3.436015919E-3,9.926267667E-4
9.361624530E-1,-3.054236295E-4,-2.214321401E-3,-8.399150101E-4
9.386477130E-1,-2.748812549E-3,-1.603474026E-3,9.926267667E-4
9.411329740E-1,-1.527118147E-3,-3.817795368E-4,-2.290677221E-4
9.436182340E-1,-1.527118147E-3,-9.926267667E-4,-2.290677221E-4
9.461035470E-1,-3.054236295E-4,-2.214321401E-3,9.926267667E-4
9.485888070E-1,-9.162708884E-4,-1.603474026E-3,2.214321401E-3
9.510740670E-1,-2.137965523E-3,-2.214321401E-3,-2.290677221E-4
9.535593280E-1,-1.527118147E-3,-3.817795368E-4,-8.399150101E-4
9.560446400E-1,-9.162708884E-4,-2.214321401E-3,-8.399150101E-4
9.585299010E-1,-3.054236295E-4,-2.825168660E-3,9.926267667E-4
9.610151610E-1,-1.527118147E-3,-9.926267667E-4,3.817795368E-4
9.635004220E-1,-1.527118147E-3,-9.926267667E-4,3.817795368E-4
9.659856820E-1,3.054236295E-4,-2.214321401E-3,-2.061609412E-3
9.684709940E-1,3.054236295E-4,-1.603474026E-3,-2.290677221E-4
9.709562550E-1,-9.162708884E-4,-3.817795368E-4,-2.290677221E-4
9.734415150E-1,-1.527118147E-3,-9.926267667E-4,9.926267667E-4
9.759267760E-1,-1.527118147E-3,-9.926267667E-4,-2.290677221E-4
9.784120360E-1,-3.054236295E-4,-1.603474026E-3,9.926267667E-4
9.808973490E-1,-1.527118147E-3,-1.603474026E-3,3.817795368E-4
9.833826090E-1,3.054236295E-4,-2.214321401E-3,3.817795368E-4
9.858678690E-1,-9.162708884E-4,-9.926267667E-4,9.926267667E-4
9.883531300E-1,-9.162708884E-4,-1.603474026E-3,-2.290677221E-4
9.908383900E-1,-9.162708884E-4,-2.825168660E-3,-2.290677221E-4
9.933237030E-1,3.054236295E-4,-1.603474026E-3,-8.399150101E-4
9.958089630E-1,3.054236295E-4,-3.817795368E-4,-1.450762269E-3
9.982942240E-1,3.054236295E-4,-3.817795368E-4,9.926267667E-4
1.000779484E0,3.054236295E-4,-2.825168660E-3,9.926267667E-4
